,Subject,part_condition,Passages,trial_difficulty,RT,answers,QuestionNum,MW,Gender,ImplicitWP,MindwanderTheory,Chronotype,ChronotypePM,ChronotypeAM,ChronotypeC,MindwanderTheoryC,ImplicitWP_C,RT_wind_Z,RT_wind
91,25,cond1,4,Easy,7005,1,4.2,NA,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,0.047921994,7005
92,25,cond1,4,Easy,1994,1,4.3,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.851066293,1994
93,25,cond1,4,Easy,5564,0,4.4,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.210597687,5564
94,25,cond1,5,Hard,3433,1,5.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.592905418,3433
95,25,cond1,5,Hard,4650,0,5.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.374572002,4650
96,25,cond1,5,Hard,5110,0,5.3,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.292046636,5110
97,25,cond1,6,Easy,1879,0,6.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.871697634,1879
98,25,cond1,6,Easy,5457,1,6.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.229793805,5457
99,25,cond1,6,Easy,1708,0,6.3,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.902375542,1708
100,25,cond1,7,Hard,4971,1,7.1,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.316983649,4971
101,25,cond1,7,Hard,4023,0,7.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.487057665,4023
102,25,cond1,8,Easy,5660,1,8.1,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.193375002,5660
103,25,cond1,8,Easy,6491,1,8.2,0,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.044291133,6491
104,25,cond1,8,Easy,5991,1,8.3,1,male,NA,28,7,-1.897320946,-9.030215286,-5.463768116,6.859375,NA,-0.133992618,5991
105,26,cond2,1,Easy,9904.800001,1,1.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.568154729,9904.800001
106,26,cond2,1,Easy,10401.68,1,1.2,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.657296477,10401.68
107,26,cond2,1,Easy,11235.065,1,1.3,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.806808221,11235.065
108,26,cond2,1,Easy,20055.36,1,1.4,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,2.389195348,20055.36
109,26,cond2,1,Easy,10687.255,0,1.5,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.70852948,10687.255
110,26,cond2,1,Easy,31968.2,1,1.6,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,3.211693384,24640
111,26,cond2,1,Easy,9080.390001,1,1.7,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.420253126,9080.390001
112,26,cond2,2,Hard,6851.06,1,2.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.020304701,6851.06
113,26,cond2,2,Hard,9855.64,1,2.2,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.559335279,9855.64
114,26,cond2,3,Easy,15425.27,1,3.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,1.558543447,15425.27
115,26,cond2,3,Easy,14041.61,1,3.2,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,1.310310732,14041.61
116,26,cond2,4,Hard,10278.435,1,4.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.635185958,10278.435
117,26,cond2,4,Hard,11543.78,1,4.2,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.86219261,11543.78
118,26,cond2,4,Hard,5351.96,1,4.3,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,-0.248638293,5351.96
119,26,cond2,4,Hard,8491.570001,1,4.4,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.314617068,8491.570001
120,26,cond2,5,Easy,6804.874999,1,5.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.012018974,6804.874999
121,26,cond2,5,Easy,9723.39,0,5.2,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.535609236,9723.39
